Model,coverage@10,coverage@20,hit@10,hit@20,mrr@10,mrr@20,ndcg@10,ndcg@20,novelty@10,novelty@20,precision@10,precision@20,recall@10,recall@20
popular,0.001010611419909045,0.0015159171298635675,0.4030082368389638,0.4334487286618121,0.2764006131679523,0.27854521617557637,0.21693433641784513,0.22196001916534386,0.2260717189538247,0.2898608489488807,0.05216664677092038,0.028560343798495882,0.2532127179542141,0.27357253487788924
itemcf,0.3552636011453596,0.5888495873336702,0.39751701086307745,0.4391787035931718,0.2555836464544833,0.25846703790802256,0.20825365441616162,0.21703772662698423,0.39484720125009953,0.4756444036007155,0.050471529187059806,0.029091560224424017,0.25489828080203525,0.2857068576953419
bprmf,0.1056088933804952,0.21488967491999325,0.4063507222155903,0.4462217977796347,0.2600190241231186,0.2627669168262219,0.208695681635882,0.2160922992165036,0.2845476898142926,0.35446924108002853,0.05232183359197803,0.02959293303091799,0.25443864877694505,0.28251183102438776
lightgcn,0.059525012632642746,0.14707764864409634,0.4209144084994628,0.4644860928733437,0.27153733484162035,0.274597057317925,0.21775954264498396,0.22658764408658885,0.3148772776809928,0.39792472165617354,0.05468544825116391,0.03141936254028888,0.26479213002156987,0.29765784225923125
lightgcn_si,0.029610914603335016,0.07448206164729662,0.42521188969798257,0.4673510803390235,0.2812322004126946,0.2841350608248702,0.22307163886710432,0.2309654427197346,0.29155442985213853,0.3812803487159677,0.05530619553539453,0.03135370657753372,0.2667236011918586,0.29695118550365734
lightgcn_multi,0.03577564426478019,0.09189826511706249,0.4266443834308225,0.4667542079503402,0.28083603820741215,0.2835912910545566,0.22381470047395688,0.23153425541082356,0.29650718348043636,0.3870462034491319,0.05544944490867852,0.03146711233138355,0.2684330248990365,0.2975307687831173
ngcf,0.11945426983324911,0.26393801583291226,0.4157813059567864,0.4593529903306673,0.25471192854205865,0.2577690776736261,0.21009599027389572,0.21890095730462736,0.33029625827918635,0.4168911739940132,0.053002268115076995,0.030667303330547926,0.2638756019858409,0.2958756440422046
lightgcn_bert,0.06356745831227893,0.15711638874852618,0.4256893876089292,0.46687358242807686,0.2802451345426157,0.2831396197701495,0.22316832723415428,0.2315599014475961,0.2946630866093241,0.38643508509995045,0.055151008714336876,0.031496955950817716,0.2674473717422288,0.298614520964543
lightgcn_hetero,0.036887316826680144,0.09499747347145023,0.4215112808881461,0.46424734391787037,0.272765470837573,0.27576928148275,0.21772741196842907,0.22653587283926366,0.302098132947955,0.38286950640737033,0.05453026143010624,0.03140742509251522,0.26488703065321006,0.29713704517518985
lightgcn_timedecay,0.02769075290550783,0.06845208017517265,0.4266443834308225,0.46603796108392026,0.2799048699102417,0.2826700121997794,0.22316042607645747,0.23067392512623802,0.28995507556953537,0.3782524307246309,0.055521069595320514,0.03147904977915721,0.2683434956630509,0.29668702543967773
sasrec,0.48859693447869296,0.662118915277076,0.17512235883968008,0.276232541482631,0.0304001792511999,0.03747893917079983,0.04198305297891781,0.06125772671952344,0.4031392575342017,0.49083728067727195,0.021069595320520475,0.017237674585173692,0.10507922249893115,0.1720885237477563
simgcl,0.03388916961428331,0.08637358935489305,0.4200787871553062,0.4629342246627671,0.26893473437283866,0.2719488608070596,0.21648302460529753,0.2253360207117906,0.30991600998563357,0.3906531351957,0.05416020054912259,0.031228363375910232,0.26438938895297814,0.29688768261677684
lightgcn_opt,0.17864241199258885,0.3547246083880748,0.42676375790855914,0.47057419123791333,0.2756687813002723,0.27867358815166293,0.22118149648279498,0.2305885200229601,0.3510795971815606,0.4427827716297077,0.05470932314671123,0.03179539214515937,0.2687918333168206,0.302441794983933
lightgcn_multi_opt,0.2651507495368031,0.4608724945258548,0.43070311567386893,0.47164856153754325,0.27868170785086144,0.2814994670737221,0.22318853913558875,0.2315405723287629,0.3994363705248398,0.49911989780738586,0.05562850662528351,0.0318550793840277,0.27068953645237365,0.30149959495173645
lightgcn_tgn,0.01623715681320532,0.04675762169445848,0.4262862599976125,0.4680673272054435,0.2739281403540685,0.27684710133917306,0.2196950370348334,0.2281156292342886,0.2936139425621463,0.3745572180986063,0.0553539453264892,0.03161036170466754,0.26715826853106606,0.29869617070589205
lightgcn_cover,0.016742462523159845,0.041199258884958734,0.4149456846126298,0.45541363256535755,0.26975429700749026,0.27260194007637245,0.21533330982030466,0.22380921288648523,0.30339447478057235,0.3776922603435187,0.053288766861644986,0.030571803748358602,0.2601877433634005,0.29145557827170815
